title,img_url
The letters to his friends by Cicero,//covers.openlibrary.org/b/olid/OL10223957M-M.jpg
Allan Quatermain by H. Rider Haggard,//covers.openlibrary.org/b/olid/OL23271139M-M.jpg
Annual report - vital statistics of Massachusetts. (title varies) by Massachusetts. Dept. of Public Health.,//covers.openlibrary.org/b/olid/OL13503712M-M.jpg
Lives of the poets by Samuel Johnson,//covers.openlibrary.org/b/olid/OL5245768M-M.jpg
Evangeline by Henry Wadsworth Longfellow,//covers.openlibrary.org/b/olid/OL23418747M-M.jpg
Heidi by Johanna Spyri,//covers.openlibrary.org/b/olid/OL11665757M-M.jpg
"Mémoires d'outre-tombe by François-René de Chateaubriand, Jean-Paul Clément","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Ben Hur by Lew Wallace,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Discours de la méthode by René Descartes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Under western eyes by Joseph Conrad,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Pepita Jiménez by Juan Valera,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Tess of the d'Urbervilles by Thomas Hardy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"The Mystery of Edwin Drood by Charles Dickens, Charles Dickens","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
View of the State of Europe During the Middle Ages by Henry Hallam,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Coriolanus by William Shakespeare,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The Tale of Benjamin Bunny by Beatrix Potter,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Genji monogatari by Murasaki Shikibu,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The poems of Ossian by James Macpherson,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
A House of Pomegranates by Oscar Wilde,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Униженные и оскорблённые by Fyodor Dostoevsky,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Le tour du monde en quatre-vingts jours by Jules Verne,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Mesilat yesharim by Moshe Ḥayyim Luzzatto,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The secret doctrine by H. P. Blavatsky,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Mr. Standfast by John Buchan,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Argonautika by Apollonius Rhodius,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The Clara Barton You Never Knew,//covers.openlibrary.org/b/id/10595887-M.jpg
Discovering women's history,//covers.openlibrary.org/b/id/10680963-M.jpg
Into the dorkness,//covers.openlibrary.org/b/id/10410852-M.jpg
Nutrition and physical fitness,//covers.openlibrary.org/b/id/7155807-M.jpg
