image_url,store,product,price,likes,comments
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9885460.thumb,Best Buy,8TB WD Easystore External USB 3.0 Hard Drive @BestBuy $130,$130,7,26
https://static.slickdealscdn.com/attachment/2/0/8/8/1/1/4/200x200/9884677.thumb,,EVGA 360mm & 240mm AIO CPU Coolers $108/$63 AC FS & Power Supply Sale,,32,24
https://static.slickdealscdn.com/attachment/3/1/2/7/3/0/2/200x200/9886057.thumb,Best Buy,Best Buy - Microsoft Ergonomic Keyboard (LXM-00001) + free shipping $39.99,$39.99,5,3
https://static.slickdealscdn.com/attachment/2/3/9/2/1/4/9/5/200x200/9884719.thumb,Newegg,"Newegg: MSI Laptop Modern 14 A10RAS-1031 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD NVIDIA GeForce MX330 14.0"" Windows 10 Pro 64-bit & MORE $649.99",$649.99,3,0
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9885721.thumb,Newegg,Samsung T7 2TB External USB 3.2 Gen 2 Portable Solid State Drive $255AC @Newegg; 1TB Crucial X8 / $106,$254.99,2,0
https://static.slickdealscdn.com/attachment/7/4/9/4/4/9/1/200x200/9884728.thumb,Amazon,"Gigabyte G27Q 27"" 144Hz 1440P Gaming Monitor, 2560 x 1440 IPS Display, 1ms Response Time, 92% DCI-P3, VESA Display HDR400, FreeSync Premium, 1x Display Port, BLACK (G27Q-SA) $280",$280,14,4
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9885631.thumb,Newegg,"4TB WD Purple 3.5"" Surveillance Hard Drive @Newegg $87.49",$87.49,2,1
https://static.slickdealscdn.com/attachment/8/6/6/3/0/200x200/9886222.thumb,Newegg,15-Month Microsoft 365 Family (6-Users) + Norton 360 Antivirus (1-Device),$75,22,35
https://static.slickdealscdn.com/attachment/2/5/4/6/0/1/2/200x200/9884536.thumb,Dell Home & Office,"Alienware AW2721D 27"" Gaming Monitor 2560 x 1440 at 240Hz $770 on Dell and Amazon",$769.99,18,47
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9885784.thumb,Newegg,8TB Seagate IronWolf 7200RPM NAS Hard Drive @Newegg $180,$179.99,1,0
https://static.slickdealscdn.com/attachment/9/0/2/0/2/3/1/200x200/9884794.thumb,Amazon,"MSI Creator 15 Laptop: 15.6"" 4K, i7-10875H, RTX 2070, 32GB DDR4, 1TB SSD $1827.54","$1,827.54",7,15
https://static.slickdealscdn.com/attachment/2/6/6/9/2/3/8/200x200/9884089.thumb,,,$299.99,17,29
https://static.slickdealscdn.com/attachment/2/7/2/8/0/4/8/1/200x200/9885142.thumb,Amazon,Aukey Outemu Blue Switch Keyboard. TKL. No Rgb. $21,$21,3,3
https://static.slickdealscdn.com/attachment/2/7/3/3/2/2/2/8/200x200/9885604.thumb,Amazon,"PICTEK Gaming Mouse Wired, RGB Chroma Backlit Gaming Mouse  $11.89",$11.89,1,0
https://static.slickdealscdn.com/attachment/2/2/8/1/0/6/5/7/200x200/9884200.thumb,Amazon,PICTEK PS4 Wireless Controller with Dual Vibration - $25.89 + Free Shipping,$25.89,6,8
https://static.slickdealscdn.com/attachment/4/4/8/1/4/9/8/200x200/9884194.thumb,,,$449,6,1
https://static.slickdealscdn.com/attachment/2/0/5/4/9/1/6/200x200/9886126.thumb,Walmart,TRONXY X5sa-400 large size 3D printer - $289.99 + free shipping,$289.99,0,2
https://static.slickdealscdn.com/attachment/8/6/6/3/0/200x200/9883057.thumb,,100-Pack Monoprice 8P8C RJ45 Plug w/ Inserts for Solid Cat6 Ethernet Cable,$6,37,81
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9885154.thumb,Newegg,Beyerdynamic DT 770 Pro 80 Ohm Closed Headphones + FOX USB Studio Mic $259 Shipped,,0,0
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9885148.thumb,Newegg,Lexmark CS421dn Laser Color Printer $199 + Fee Shipping,$199,1,2
https://static.slickdealscdn.com/attachment/9/5/3/9/1/0/200x200/9885034.thumb,Newegg,Rosewill Micro ATX Mini Tower Computer Case with Dual Fans - FBM-01 - $18.99 FS,$18.99,1,0
https://static.slickdealscdn.com/attachment/5/5/8/2/7/0/5/200x200/9882925.thumb,Newegg,"ASUS VivoBook 15 F513: 15.6'' FHD IPS, Ryzen 7 4700U, 16GB DDR4, 512GB PCIe SSD, Win10H @ $629 + F/S",$629,19,15
https://static.slickdealscdn.com/attachment/8/9/6/3/9/8/200x200/9882727.thumb,Best Buy,Canon - imageCLASS MF642Cdw Wireless Color All-In-One Laser Printer - White $269.99,$269.99,28,40
https://static.slickdealscdn.com/attachment/7/3/7/4/2/7/1/200x200/9883984.thumb,Amazon,Lian Li 205M microATX Mid-Tower PC Gaming Case w/Tempered Glass Side Panel $64.99,$64.99,2,4
https://static.slickdealscdn.com/attachment/5/5/8/2/7/0/5/200x200/9883612.thumb,B&H Photo Video,LG 22MN430M-B 21.5'' 1080P FreeSync IPS 75 Hz Monitor @ $84.95 + F/S,$84.95,3,2
https://static.slickdealscdn.com/attachment/2/6/9/6/1/0/4/200x200/9883750.thumb,Amazon,"LEXIVON 9-Piece Impact Grade Socket Adapter Set - 3"", 6"", and 12"" Extension Bit With Holder | 1/4"", 3/8"", and 1/2"" Drive, Adapt Your Power Drill To High Torque Impact Wre - $22.97",$22.97,2,0
https://static.slickdealscdn.com/attachment/4/3/5/0/3/200x200/9882262.thumb,,Samsung Chromebook Plus V2 64GB $239.99 with Education Discount,$239.99,26,64
https://static.slickdealscdn.com/attachment/1/3/4/6/1/3/0/3/200x200/9882817.thumb,Amazon,"Acer Predator XB273K 27"" 4K 144hz IPS NVIDIA G-SYNC Compatible Monitor $629.99",$629.99,7,5
https://static.slickdealscdn.com/attachment/2/7/1/5/6/3/0/1/200x200/9883852.thumb,Best Buy,"Dell G7 17.3"" 300Hz Gaming Laptop Intel Core i7 16GB Memory NVIDIA GEFORCE RTX 2070 (Max-P) 512GB SSD RGB Keyboard Black G7700-7231BLK-PUS - $1449.99","$1,449.99",1,10
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9883234.thumb,Newegg,Bitdefender Total Security 2021 5-PC/ 1Yr @Newegg $18,$18,0,0
https://static.slickdealscdn.com/attachment/2/2/2/9/4/2/200x200/9882400.thumb,Amazon,Amazon.com: Micro Center Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked LGA1200 (Intel 400 Series chipset) $528.99 + free shipping $528.99,$528.99,5,6
https://static.slickdealscdn.com/attachment/2/7/9/0/0/5/8/6/200x200/9883111.thumb,Amazon,HP Sprocket Studio 4x6” Instant Photo Printer - $109.99 w/ FS,$109.99,1,1
https://static.slickdealscdn.com/attachment/1/5/2/8/3/9/6/200x200/9882544.thumb,Amazon,"VicTsing 2.4G Wireless Keyboard Mouse Combo, $14.39",$14.39,2,0
https://static.slickdealscdn.com/attachment/3/5/8/4/3/2/4/200x200/9882808.thumb,Amazon,"SanDisk 200GB Ultra microSDXC UHS-I Memory Card with Adapter - 100MB/s, C10, U1, Full HD, A1, Micro SD Card - SDSQUAR-200G-GN6MA - Amazon - $22.49",$22.49,2,2
https://static.slickdealscdn.com/attachment/3/5/8/4/3/2/4/200x200/9882769.thumb,Amazon,Samsung SSD 860 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-76E2T0B/AM) $209.99,$209.99,0,5
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9881101.thumb,Newegg,Rosewill NEON K91 RGB Mechanical Gaming Keyboard with Kaihl Brown Switches + Free Rosewill Mouse for $54.99 + Free Shipping,$54.99,16,8
https://static.slickdealscdn.com/attachment/2/6/7/9/6/8/3/3/200x200/9881449.thumb,Amazon,"Apple 13"" M1 MacBook Pro (Space Gray, 8GB RAM, 256GB SSD) $1199 + Free ship","$1,199",7,22
https://static.slickdealscdn.com/attachment/2/7/8/5/7/2/0/3/200x200/9882604.thumb,Walmart,"Gateway 15.6"" FHD Ultra Slim Notebook, Intel Core i5-1035G1, 16GB RAM, 256GB SSD $409.00",$409,1,4
https://static.slickdealscdn.com/images/avatar-17.png,,,$99,7,2
https://static.slickdealscdn.com/attachment/4/8/2/3/7/7/200x200/9886645.thumb,Newegg,CORSAIR Crystal 570X RGB Tempered Glass ATX Mid Tower Case (White),$140,24,24
https://static.slickdealscdn.com/images/avatar/sd/08_200x200.png,,"HP Probook 445 G7 - Ryzen 5 4500U - 14"" 250nit 8G/256G Windows 10 Pro $699.99",$699.99,0,0
https://static.slickdealscdn.com/images/avatar-17.png,,Lenovo Gaming Tower 7i $700 off - Final price $1899+tax,"$1,899",0,2
https://static.slickdealscdn.com/attachment/1/0/1/9/6/1/8/200x200/9881008.thumb,Dell Home & Office,"Alienware Aurora R10 Desktop: Ryzen 5 5600X, 8GB DDR4, 1TB SATA HDD, RX 6800 XT, 1000W PSU, $1676 (or $1552) @ dell","$1,676",9,50
https://static.slickdealscdn.com/images/avatar-17.png,Amazon,Amazon XPG SX8200 Pro 2TB 3D NAND NVMe Gen3x4 PCIe M.2 2280 for $200 After Coupon Free Shipping,$200,0,6
https://static.slickdealscdn.com/images/avatar-17.png,Amazon,ASUS ROG Strix B550-F Gaming (WiFi 6 Version) Motherboard $182.99,$182.99,0,0
https://static.slickdealscdn.com/attachment/3/6/3/7/4/0/4/200x200/9880474.thumb,Best Buy,1000W Seasonic Gold+ PSU for $179.99,$179.99,14,30
